approach,mean_f1,mean_mcc,mean_pr_auc,mean_precision,mean_recall,mean_roc_auc,metrics,name,std_f1,std_mcc,std_pr_auc,std_precision,std_recall,std_roc_auc
RF,0.877041140677273,0.879374011054546,0.893911319277273,0.874837662336364,0.908008658004545,0.995048644513636,ico-process,gluster/gdeploy,0.162338421274408,0.158301386807196,0.143304466025101,0.18992063804437,0.168726413009383,0.014507360801053
RF,0.050481486772727,0.002429836463636,0.522750105386364,0.064249949059091,0.309415584413636,0.472791623236364,delta-process,gluster/gdeploy,0.083170920493006,0.133585912710801,0.038688259214636,0.210981009787166,0.448858753483864,0.076280125897248
RF,0.831111111113333,0.829037912926667,0.876846100753333,0.844444444446667,0.833333333333333,0.98522974102,ico-delta,openstack/openstack-ansible-rabbitmq_serve,0.350841769305144,0.35874720093695,0.271514637112904,0.353366275791675,0.361873432227873,0.034320347254413
RF,0.89777777778,0.895704579593333,0.9085921325,0.911111111113333,0.9,0.988404344193333,ico,openstack/openstack-ansible-rabbitmq_serve,0.266507889236612,0.277366604489096,0.254600201238496,0.266269545570474,0.280305955290694,0.027958139585994
RF,0,0,0.525885406846667,0,0,0.512652282886667,process,openstack/openstack-ansible-rabbitmq_serve,0,0,0.008090066126336,0,0,0.205677830383381
RF,0.051934667573333,-0.050393595346667,0.340867059766667,0.027547846886667,0.5,0.4086002886,delta,openstack/openstack-ansible-rabbitmq_serve,0.050518843263852,0.155537173944094,0.242783756331548,0.02689831896003,0.5,0.225036186891966
RF,0.85333333334,0.854264904606667,0.875258799166667,0.844444444446667,0.9,0.986825396826667,ico-process,openstack/openstack-ansible-rabbitmq_serve,0.273948205040574,0.282188357297088,0.256963468835398,0.298585731662771,0.280305955290694,0.039788746760421
RF,0,0,0.525885406846667,0,0,0.493872560186667,delta-process,openstack/openstack-ansible-rabbitmq_serve,0,0,0.008090066126336,0,0,0.220711467340463
RF,0.946405228762745,0.941258257001961,0.961776377217647,0.934640522876471,0.983660130719608,0.990196078433333,ico-delta,Oefenweb/ansible-supervisor,0.11927157271702,0.128976664835359,0.086312340982877,0.16692789984577,0.08336600666408,0.049009802934579
RF,0.946405228762745,0.941258257001961,0.961776377217647,0.934640522876471,0.983660130719608,0.993464052288235,ico,Oefenweb/ansible-supervisor,0.11927157271702,0.128976664835359,0.086312340982877,0.16692789984577,0.08336600666408,0.026838701608629
RF,0.045751633986275,0.02308321714902,0.558975256801961,0.048039215686275,0.058823529411765,0.520261437907843,process,Oefenweb/ansible-supervisor,0.176630283588831,0.192805005879743,0.124196368505697,0.199238747314303,0.215570378844808,0.135738769761694
RF,0.029411764705882,-0.003856217819608,0.524268596362745,0.027450980392157,0.032679738562745,0.47843137254902,delta,Oefenweb/ansible-supervisor,0.155298573911107,0.16350061535773,0.162139698293487,0.149771067129201,0.166732013335765,0.133740798962523
RF,0.95294117647451,0.948209291817647,0.966678338001961,0.944444444445098,0.983660130719608,0.983660130719608,ico-process,Oefenweb/ansible-supervisor,0.112581125423542,0.122086923659485,0.080978680094494,0.15515822270735,0.08336600666408,0.057782176804155
RF,0.078540305007843,0.02298287542549,0.553431372580392,0.066674447556863,0.186274509803922,0.495261437907843,delta-process,Oefenweb/ansible-supervisor,0.194250759430452,0.205897457168481,0.141533580356892,0.202789278246454,0.386791730957701,0.154771380699786
RF,0.971929824563158,0.955510554652632,0.978070175436842,0.956140350878947,1,1,ico-delta,rvm/rvm1-ansible,0.086967538917576,0.133262207214785,0.067140131601682,0.134280263191388,0,0
RF,0.982456140352632,0.977755277326316,0.986842105263158,0.973684210526316,1,1,ico,rvm/rvm1-ansible,0.07647191128254,0.096962498161677,0.057353933467641,0.114707866935281,0,0
RF,0.507017543868421,0.2271254811,0.758771929826316,0.535087719294737,0.552631578947368,0.658991228068421,process,rvm/rvm1-ansible,0.320412339929823,0.48267066135913,0.145388838042552,0.383208302353847,0.3687342027541,0.292591994995449
RF,0.662406015052632,0.171278727052632,0.746491228063158,0.563157894742105,0.868421052631579,0.632675438594737,delta,rvm/rvm1-ansible,0.16911202839683,0.462037056930778,0.13235508582587,0.198418045049864,0.226206964179432,0.255080563849615
RF,0.964912280705263,0.925123698378947,0.973684210526316,0.947368421052632,1,1,ico-process,rvm/rvm1-ansible,0.105100589203592,0.244052595037402,0.078825441910577,0.157650883821153,0,0
RF,0.628070175447368,0.257512337373684,0.760964912278947,0.605263157894737,0.736842105263158,0.593201754384211,delta-process,rvm/rvm1-ansible,0.243498968968975,0.522476561788987,0.151409341916644,0.29507545759041,0.305887645160749,0.315675869955885
