id,full_name,comments_ratio,commit_frequency,core_contributors,has_ci,has_license,iac_ratio,issue_frequency,repository_size,fixing_commit_count,fixed_file_count,clean_count,defective_count
139833681,lean-delivery/ansible-role-java,0.0137,1.79,3,True,True,0.9677,0.03,7553,11,34,0,0
43875961,ARTbio/GalaxyKickStart,0.0723,22.14,4,True,True,0.3509,0.08,8356,34,22,0,0
16358091,phansible/phansible,0.0292,7.87,10,True,True,0.1377,3.44,7022,11,17,0,0
54225669,openshift/openshift-ansible-contrib,0.0859,25.08,9,True,True,0.6385,1.41,33927,21,14,0,0
26865033,Stouts/Stouts.openvpn,0.1397,3.96,5,True,True,0.8871,1.07,985,16,13,0,0
29490487,Oefenweb/ansible-wordpress,0.0471,2.64,2,True,True,0.6429,0.8,849,11,9,0,0
87416419,oVirt/ovirt-ansible,0.1241,4.97,3,True,True,0.4167,0.5,466,9,9,0,0
47841554,RocketChat/Rocket.Chat.Ansible,0.0448,4.55,2,True,True,0.6739,0.62,1237,12,9,0,0
30940531,threatstack/threatstack-ansible,0.0218,2.01,5,True,True,0.7391,0.03,449,12,8,0,0
122892174,jaredledvina/sensu-go-ansible,0.0314,28.12,2,True,True,0.6792,0.27,2100,3,6,0,0
169718970,lean-delivery/ansible-role-aem-node,0.0365,5.36,2,True,True,0.9074,0.09,1876,8,6,0,0
35051828,dev-sec/ansible-os-hardening,0.1084,7.61,5,True,False,0.7895,1.54,1884,31,5,0,0
111401671,trombik/ansible-role-opensmtpd,0.054,2.97,2,True,True,0.5,0.03,2749,11,5,0,0
122424272,dsaidgovsg/terraform-modules,0.0814,6.64,2,True,True,0.153,2.67,14489,5,4,0,0
38942982,HanXHX/ansible-mysql,0.0796,2.3,2,True,True,0.6977,0.14,613,5,4,0,0
35945589,Oefenweb/ansible-haproxy,0.0322,4.63,5,True,True,0.7241,0.36,1113,5,4,0,0
110139999,oVirt/ovirt-ansible-image-template,0.0757,2.65,3,True,True,0.4231,0.15,684,4,4,0,0
170286463,lean-delivery/ansible-role-aem-dispatcher,0.0486,18.27,2,True,True,0.8864,0.18,685,2,3,0,0
20755256,mtchavez/ansible-influxdb,0.0324,2.59,3,True,True,0.5667,0.1,657,4,3,0,0
118653944,nkakouros-original/ansible-role-nextcloud,0.1642,4.66,3,True,True,0.7419,0.12,1150,7,3,0,0
110140373,oVirt/ovirt-ansible-vm-infra,0.077,4.32,3,True,True,0.5172,0.06,983,4,3,0,0
112223620,oVirt/ovirt-ansible-engine-setup,0.0989,3.57,3,True,True,0.6122,0.26,592,6,2,0,0
110126654,oVirt/ovirt-ansible-infra,0.049,2.81,3,True,True,0.5667,0.14,1901,3,2,0,0
