id,full_name,comments_ratio,commit_frequency,core_contributors,has_ci,has_license,iac_ratio,issue_frequency,release_count,repository_size
38443903,dev-sec/ansible-mysql-hardening,0.0574,2.33,6,True,False,0.7586,0.12,3,706
64212361,dev-sec/ansible-nginx-hardening,0.0568,1.27,3,True,False,0.5909,0,5,581
35051828,dev-sec/ansible-os-hardening,0.1084,7.61,5,True,False,0.7895,1.55,15,1884
50925884,devops-works/ansible-baseline,0.2096,1.56,3,True,False,0.7037,0.03,25,264
159208708,devroles/mingw_sword_package,0.0112,1.71,1,False,False,0.8125,0,2,265
190293520,dgsd-consulting/k8s-terraform,0.1888,72.25,1,False,True,0.4587,0,3,13812
184796798,diodonfrost/ansible-role-amazon-ssm,0.0351,3.94,1,True,True,0.8,0,5,578
156391929,diodonfrost/ansible-role-java,0.1029,5.71,1,True,True,0.9259,0,13,959
151299729,diodonfrost/ansible-role-logrotate,0.1013,2.28,1,True,True,0.7586,0,6,479
147718744,diodonfrost/ansible-role-mariadb,0.1088,3.55,2,True,True,0.7727,0.17,4,967
182519321,diodonfrost/ansible-role-packer,0.1083,4.05,1,True,True,0.8049,0,6,782
154668406,diodonfrost/ansible-role-puppet-agent,0.1223,4.08,1,True,True,0.9123,0,8,990
144179214,diodonfrost/ansible-role-ssh-hardening,0.1096,2.91,2,True,True,0.6286,0,5,780
181340557,diodonfrost/ansible-role-terraform,0.1179,3.95,1,True,True,0.8462,0,8,711
186503883,diodonfrost/ansible-role-terragrunt,0.0586,3,1,True,True,0.8,0,5,482
182240460,diodonfrost/ansible-role-vagrant,0.1094,3.74,1,True,True,0.7143,0.16,5,594
144394301,diodonfrost/docker-ansible,0.0029,7.04,1,False,True,0,0,16,349
151939323,diodonfrost/ubuntu-laptop-playbook,0.1145,5.65,1,True,True,0.7143,0,6,580
42811525,dj-wasabi/ansible-telegraf,0.0105,4.98,7,False,True,0.6667,0.61,0,1314
26018182,dj-wasabi/ansible-zabbix-proxy,0.0208,2.5,3,True,True,0.697,0,13,1363
205687693,DmitryRomanenko/certbot-dns,0,5.33,2,True,True,0.7,0,2,163
38701252,dockpack/ansible-consul,0.0364,14.2,6,True,True,0.7979,0.66,151,3098
62896585,dockpack/ansible-nomad,0.0291,4.71,3,True,True,0.6579,0.43,63,1535
70871612,dockpack/ansible-vault,0.0417,9.37,6,True,True,0.7547,0.43,93,2139
114118935,dockpack/base_docker,0.0326,1.91,1,True,True,0.3929,0,14,475
114117147,dockpack/base_git,0.0303,1.59,1,True,True,0.5294,0,5,320
195572582,dockpack/secure_ssh,0.0455,15.57,1,False,False,0.4,0,13,1195
183217248,dodevops/ansible-teamcity-callback,0.1481,1.8,1,False,True,0,0.05,3,92
179346232,dokku/ansible-dokku,0.0193,6.05,3,False,True,0.3333,1.58,5,3095
